,TCGA.04.1332,TCGA.04.1336,TCGA.04.1338,TCGA.04.1348,TCGA.04.1350,TCGA.04.1361,TCGA.04.1364,TCGA.04.1367,TCGA.04.1371,TCGA.04.1525,TCGA.04.1530,TCGA.04.1644,TCGA.04.1646,TCGA.04.1649,TCGA.04.1651,TCGA.09.1666,TCGA.09.2051,TCGA.10.0926,TCGA.10.0931,TCGA.10.0935,TCGA.13.0764,TCGA.13.0791,TCGA.13.0792,TCGA.13.0805,TCGA.13.0883,TCGA.13.0884,TCGA.13.0886,TCGA.13.0890,TCGA.13.0891,TCGA.13.0899,TCGA.13.0900,TCGA.13.0903,TCGA.13.0906,TCGA.13.0908,TCGA.13.0910,TCGA.13.0911,TCGA.13.1494,TCGA.13.1817,TCGA.20.0990,TCGA.23.2078,TCGA.23.2079,TCGA.23.2081,TCGA.24.0979,TCGA.24.1105,TCGA.24.1466,TCGA.24.1545,TCGA.24.1546,TCGA.24.1549,TCGA.24.1551,TCGA.24.1553,TCGA.24.1555,TCGA.24.1557,TCGA.24.1562,TCGA.24.1564,TCGA.24.1603,TCGA.24.1604,TCGA.24.1616,TCGA.24.1852,TCGA.24.1924,TCGA.24.1930,TCGA.24.2020,TCGA.24.2023,TCGA.24.2026,TCGA.24.2027,TCGA.24.2254,TCGA.24.2260,TCGA.24.2280,TCGA.24.2289,TCGA.24.2297,TCGA.24.2298,TCGA.25.1313,TCGA.25.1314,TCGA.25.1315,TCGA.25.1318,TCGA.25.1319,TCGA.25.1320,TCGA.25.1321,TCGA.25.1625,TCGA.25.1630,TCGA.25.1632,TCGA.25.1633,TCGA.25.1634,TCGA.25.1635,TCGA.25.1871,TCGA.25.1878,TCGA.25.2391,TCGA.25.2398,TCGA.25.2400,TCGA.25.2409,TCGA.29.1697,TCGA.29.1699,TCGA.29.1704,TCGA.29.1768,TCGA.30.1714,TCGA.30.1718,TCGA.30.1853,TCGA.30.1860,TCGA.30.1861,TCGA.30.1880,TCGA.31.1944,TCGA.36.1569,TCGA.57.1993,TCGA.59.2348,TCGA.59.2351,TCGA.61.1725,TCGA.61.1728,TCGA.61.1733,TCGA.61.1736,TCGA.61.1737,TCGA.61.1741,TCGA.61.1906,TCGA.61.1907,TCGA.61.1917,TCGA.61.2009,TCGA.61.2092,TCGA.61.2094,TCGA.04.1343,TCGA.04.1349,TCGA.04.1517,TCGA.09.1659,TCGA.09.2048,TCGA.10.0928,TCGA.10.0938,TCGA.13.0727,TCGA.13.0730,TCGA.13.0757,TCGA.13.0758,TCGA.13.1496,TCGA.20.0987,TCGA.24.0975,TCGA.24.0982,TCGA.24.1548,TCGA.24.1558,TCGA.24.1565,TCGA.24.1567,TCGA.24.1923,TCGA.24.1928,TCGA.24.2029,TCGA.24.2033,TCGA.24.2288,TCGA.25.1317,TCGA.25.1322,TCGA.25.1323,TCGA.25.1329,TCGA.25.1623,TCGA.25.1627,TCGA.25.1631,TCGA.25.1870,TCGA.25.2392,TCGA.25.2396,TCGA.25.2397,TCGA.25.2399,TCGA.25.2401,TCGA.29.1701,TCGA.29.2432,TCGA.30.1856,TCGA.36.1571,TCGA.57.1585,TCGA.61.1724,TCGA.61.1901,TCGA.61.1918,TCGA.61.2016,TCGA.61.2109
4,4.943449,3.37637,4.273421,3.48565033333333,3.06459166666667,4.52664366666667,3.616376,4.13658533333333,4.25173633333333,4.031022,4.38514,3.53105866666667,3.11871066666667,3.91223366666667,3.39146466666667,4.19068733333333,3.505267,3.559895,3.38533933333333,3.30153966666667,3.45154266666667,3.849254,3.18694333333333,3.89197866666667,4.35359833333333,5.09591266666667,3.86614033333333,4.228319,4.55399533333333,3.40239566666667,3.817109,3.439767,3.53568833333333,3.70082333333333,3.74714766666667,4.253086,4.417886,3.56253266666667,4.26256966666667,4.142415,4.22744766666667,3.72392666666667,5.16332366666667,4.19115,3.99407433333333,3.651159,5.03734766666667,4.712699,4.726233,6.030318,3.23995,3.62659133333333,3.984252,4.20169033333333,4.43954866666667,3.640959,3.40269133333333,4.645574,3.85142266666667,3.591687,3.92285133333333,3.13433633333333,4.31224,3.78138433333333,4.66519933333333,3.489939,6.31457733333333,4.05757633333333,3.59181066666667,5.815383,4.230818,3.22114333333333,3.44165233333333,3.71477866666667,3.376983,5.38778633333333,3.443391,3.64599833333333,4.540487,3.140195,4.16673833333333,3.38019966666667,3.89874833333333,4.39835933333333,3.452444,3.16281366666667,4.654573,3.38870266666667,4.58414866666667,3.74546,3.97387233333333,3.52522066666667,4.20564266666667,3.56183066666667,4.47452633333333,3.633464,3.80754833333333,3.89328366666667,3.660517,3.75992066666667,5.89678366666667,3.685308,5.13872933333333,3.94270933333333,3.49601766666667,3.37653633333333,6.03761766666667,3.74390433333333,3.96186366666667,3.66836833333333,3.44193133333333,3.06877833333333,5.086782,4.20217533333333,3.32004033333333,3.68462533333333,3.94579033333333,3.497507,3.24191766666667,3.58955833333333,3.49098,3.52771166666667,4.34253333333333,4.748275,3.362341,3.50762466666667,5.04348766666667,4.598576,3.509968,4.44786833333333,5.955744,3.31591333333333,3.26820666666667,3.299967,2.91046733333333,5.026565,3.56272166666667,4.28139933333333,3.62807266666667,3.83589266666667,3.740472,3.87262033333333,3.95883133333333,3.68176266666667,3.94812,3.645246,3.28106566666667,3.58922933333333,4.23279866666667,5.379104,3.215194,3.38756333333333,4.29838333333333,3.418088,4.28867233333333,4.59486366666667,3.62164166666667,4.53166866666667,3.84551,4.397365,3.90540366666667,3.83642433333333,3.199887
782,4.879835,3.425882,3.553887,3.899023,3.538078,3.264107,3.604203,3.331342,4.13879,3.864069,3.590738,5.215633,4.278746,3.749409,4.020506,5.323689,4.724558,3.954112,3.181594,3.398876,5.17336,4.118107,4.494903,3.841182,3.224626,3.7579,3.234088,4.009382,3.671135,3.857075,3.968559,3.497433,3.909512,3.441476,4.52564,3.438177,4.912118,4.035822,4.717581,4.358673,3.251418,4.702228,3.342721,3.871014,3.672554,4.452024,4.38747,4.208828,4.195243,4.439489,5.156227,5.203484,4.869133,3.907049,5.22953,4.040176,4.885924,5.265511,4.656599,4.218851,4.641707,4.115502,3.325202,4.748384,4.139099,4.01748,3.907049,3.60298,4.542558,3.936413,3.912301,3.447528,5.89468,3.714946,4.630453,4.955086,3.935141,4.098794,4.364069,3.798777,4.532267,4.461976,4.742891,5.298456,3.390354,4.457854,4.444039,4.540746,5.215563,4.285894,4.444543,3.981129,4.603892,3.757132,3.584872,3.703512,3.936717,5.19751,4.723381,3.607663,3.882921,4.466318,4.359988,3.884467,4.258223,4.44744,4.848758,3.958417,4.260655,3.871529,5.05422,4.23471,4.352012,4.345236,4.066764,4.174913,3.140252,3.790967,3.882197,4.319355,4.865108,3.802331,3.402629,4.121733,3.410697,4.701082,3.618652,3.219728,3.571922,4.232264,4.063357,5.284853,6.534366,3.690672,5.164361,3.878278,4.585291,3.742679,3.581835,4.280109,4.340991,4.052213,5.676031,3.63935,3.841763,4.837806,4.727353,4.540932,4.628737,5.525156,3.280149,5.107748,4.258331,4.459198,4.900516,4.092561,3.687162,5.003812,4.533739,5.398951,4.34621,4.283793,3.952303
964,9.059814,9.0570835,9.8818605,9.6257695,9.4131295,9.597554,8.572985,9.06054,9.305106,9.0982605,8.6465485,9.86401,9.64307,8.773367,9.3373645,9.312985,9.509733,9.6338285,9.3989125,9.359781,9.4536405,9.6055135,9.728687,9.6342195,9.051936,9.086318,9.3992825,8.96616,10.0913265,9.9476855,9.4688875,9.4577535,9.290056,9.0008015,9.4039215,10.0710845,9.734913,9.055237,9.985889,9.184311,9.0331715,9.7437625,9.463413,9.0204345,10.261667,8.71837,9.1326935,9.0436185,9.2510745,8.977486,9.6495385,9.919757,9.644576,10.683143,9.945146,9.2344995,9.419694,10.439813,9.8072555,9.6519765,10.2654945,10.0640075,9.537737,9.293885,9.0795435,9.183646,9.355296,10.2780835,9.3552315,9.0413565,9.7196815,9.768548,9.2661895,9.2567065,9.663208,9.3769645,9.488867,8.6329605,9.4158075,9.1379965,8.598012,9.742109,9.606729,9.162227,9.706826,9.562132,8.704815,9.671925,9.666547,9.514833,9.1093335,9.2299735,9.397233,9.8309055,10.093892,8.951172,9.169509,8.461694,9.7502665,10.326218,8.954086,9.5805215,10.014438,9.59203,9.9933555,9.870602,9.8491945,9.4414025,8.9597705,9.0706475,10.559362,9.606007,10.06096,10.012269,10.0749385,9.067158,9.582419,9.0257215,9.5496135,9.644352,9.8577405,8.77188,9.516743,9.623806,9.421412,10.109025,9.7904375,9.2736705,9.871925,8.4959295,9.217982,9.3850925,9.0701475,9.6588745,9.4629395,8.7288475,9.416615,10.17992,9.7938685,9.052844,9.1417775,9.657573,9.836579,9.6431715,8.8809665,9.400219,9.434686,9.332726,9.888392,8.9830485,9.8048185,9.2421865,9.5743395,10.110034,10.0003335,10.1911785,9.023946,8.7825375,9.0633535,9.6878215,9.8324385,9.6879695,9.509395
1055,4.8002075,4.694929,4.8113815,5.190146,5.298859,5.096766,5.2200565,5.4909135,4.9984085,4.667864,4.8242195,5.508294,5.3960455,5.0187165,5.0203245,5.257698,5.1236565,4.839316,4.979031,5.4264755,5.2715775,5.5504915,5.326675,5.2767925,5.091726,5.304908,4.327892,4.2389795,4.996317,4.7732395,5.065787,4.779142,4.5661285,4.7611515,4.852943,5.24035,4.585344,4.8629585,5.0613255,5.231308,5.021908,5.067935,5.1089605,5.2262085,5.0559705,4.748643,4.852412,4.819462,5.049782,4.9534905,5.6985855,4.986148,4.8443455,4.7979935,5.4009995,4.8364785,4.92823,4.895888,5.080147,4.6373415,5.4793825,5.26148,5.3492305,4.991978,5.165132,5.3063575,4.5796735,4.58938,4.9714485,4.6574585,5.034286,4.987264,5.352618,5.5602395,5.2112375,5.0222525,4.81268,4.9671885,5.032581,5.129494,4.501336,5.122042,4.919009,5.67739,5.7248435,5.054345,5.0022075,5.0147665,5.0527185,5.1974975,5.0390685,5.5446925,5.0783995,5.167941,5.0349325,5.649074,5.0666375,5.166752,5.5672255,5.5031785,4.761339,5.047003,4.944157,5.0129725,5.393722,5.2268025,4.7050075,4.4521395,5.002775,4.6882865,5.694938,5.4400775,5.2260995,5.5792075,5.632779,5.1135295,4.895997,5.6682645,5.2362145,4.617062,5.723564,5.045376,4.573746,4.90764,4.2407635,4.949932,5.1025325,4.7722825,5.0037205,5.0105475,5.407251,4.5077965,4.734117,5.1326925,4.6796865,5.2113175,4.6368865,5.130948,5.45969,4.788931,4.77679,4.71415,5.313638,5.477823,4.97011,4.898613,5.1403385,4.9912655,4.968762,5.1014725,5.418756,5.1450265,4.9845555,5.360865,4.945197,5.1670595,5.0900575,4.732659,5.292527,5.2405595,5.3431165,4.6215545,4.7075015
1080,9.06382,7.831039,7.925779,8.48212,8.131824,7.14221,8.285903,8.064343,7.289691,8.007342,8.010991,8.081589,8.142114,8.44263,8.627605,9.311485,9.465454,8.200554,7.346471,8.864146,9.554385,8.854811,9.192555,8.281333,7.255109,8.746399,7.60329,8.111941,9.082188,9.181007,8.419726,7.961939,7.415244,8.128456,8.792704,9.161441,8.678945,9.001051,8.406395,8.586409,8.339832,8.246749,8.338378,6.723511,8.17221,8.570945,8.36543,8.54146,8.846888,8.695079,9.009262,9.283296,8.58901,7.949918,7.809455,8.28578,8.39854,7.893166,9.486497,9.428789,8.273456,8.061617,10.002068,8.33444,8.925718,8.181161,8.908077,8.249347,9.064563,10.061883,8.043656,8.079183,8.977019,8.101547,9.383234,8.70544,8.086902,8.270325,9.172819,9.202056,8.865182,7.674168,9.303915,8.589051,9.44889,8.891022,8.730444,8.255252,9.277796,9.423988,9.106367,9.350815,9.573904,8.064822,8.386836,8.751765,9.036466,8.244342,8.448255,8.660465,8.211175,9.370176,9.36293,8.321977,8.724977,9.12954,8.425009,8.497449,8.524887,8.872999,9.27858,8.186327,9.290529,8.601384,8.749567,9.312967,7.641906,7.552063,9.303037,8.625962,8.12324,8.877507,7.828442,8.806846,9.310743,8.856752,9.308314,8.244066,8.109109,8.822645,7.832259,9.034696,8.50392,8.841213,9.089503,8.973286,9.201283,8.374384,8.859439,9.271142,8.215367,8.628428,8.070296,9.050268,8.612757,8.390337,9.261249,8.485396,8.046023,9.653058,8.363691,8.721697,8.253078,8.550894,7.911038,8.298364,7.509091,9.111113,9.559791,8.40331,8.508953,8.361114,7.626047
1505,7.684046,4.020984,8.745628,4.012942,8.28486,5.462767,5.919061,6.120803,6.850833,4.360713,2.823984,6.274723,4.610332,4.391622,5.413183,3.704949,5.380572,6.335035,6.044306,4.996686,3.090662,3.406325,6.727365,3.664528,7.880011,6.038251,6.577042,5.71925,3.024411,7.772509,6.20684,4.97905,6.404286,5.650296,6.356171,5.788869,5.566256,2.819281,8.322784,5.859997,7.071592,6.620109,6.990424,4.218256,4.067752,6.00298,6.216028,4.471905,4.163046,5.124619,6.669675,4.112642,8.354667,7.458803,6.410945,6.312934,7.625886,6.832567,6.871354,3.600017,2.764964,4.855255,2.878761,5.304905,6.739662,3.564222,4.351669,6.820065,3.070288,3.599026,3.852604,4.236123,7.435175,5.604872,6.809103,5.778926,3.984322,3.089029,3.330067,5.260822,5.126701,5.880404,6.079232,7.58449,3.276349,4.737462,7.371971,5.773444,7.102405,7.226279,4.15258,4.115953,4.946088,5.3158,5.609624,6.009867,3.124392,3.15912,5.224487,6.045285,6.940381,3.972131,2.823875,7.141171,5.767523,6.059888,5.877533,6.288061,4.357866,3.22349,2.765102,4.648839,3.883592,7.055574,2.648682,6.107423,2.748242,7.385846,4.462938,4.267553,6.24744,6.050403,5.770016,3.928292,5.305602,5.875424,2.96886,3.483393,4.469451,5.080864,4.584651,5.486307,2.803362,4.721679,8.879228,4.702913,6.163059,6.885513,3.814706,2.93659,5.965556,5.653433,5.986475,5.243361,5.081502,4.58602,6.126564,6.427379,6.175787,3.360637,3.670684,4.323405,4.24308,4.816595,6.146535,3.085542,5.712019,4.745606,3.865797,5.11715,3.882148,6.967155,4.409796
1644,5.239071,5.308592,6.578573,6.466658,6.657287,6.416589,6.483523,5.000022,6.774019,5.625662,4.868385,6.792503,7.209718,5.455044,6.557319,5.355067,5.667922,6.221266,5.105078,5.505657,5.235261,4.798283,4.670142,5.4876,5.450617,5.321042,5.792627,6.489031,5.592196,5.996604,5.646216,4.837317,6.311566,5.991643,5.524434,5.692104,5.733458,6.54419,7.039295,6.082655,5.969338,4.566041,5.387676,5.674633,5.115889,5.311919,5.58759,6.440804,5.870897,6.321326,5.584386,4.931712,5.670343,6.206029,5.958197,5.191898,6.42986,6.744637,6.134721,6.284514,4.84929,6.018998,4.210145,6.543953,5.273145,5.983363,4.856026,5.083775,4.908438,5.318363,6.516613,6.374825,6.326698,6.736457,5.986774,5.872598,6.732059,5.576052,6.143269,4.728282,6.608136,7.137346,6.071956,5.535923,5.404325,5.767183,6.039627,5.481908,3.960824,6.358216,5.653131,5.82342,5.51877,5.426115,5.762681,5.835097,4.930819,5.493681,5.900827,3.796665,6.048078,5.900265,6.472433,6.359473,5.636868,5.109446,6.596851,5.853878,5.806149,6.128701,5.901655,6.380096,5.337442,6.581534,5.844425,5.062592,4.529284,5.719079,6.673905,5.968455,6.662695,6.416487,6.110327,5.464807,5.67304,5.051047,3.603867,6.374393,5.065438,5.374616,6.021301,6.690261,6.401456,5.89625,6.111161,5.160857,5.479303,6.452043,5.281623,5.65963,6.425564,6.46442,6.883462,5.225344,6.460118,6.486659,6.168891,5.66294,6.230113,5.721436,5.474509,5.358088,5.885827,6.224038,6.078412,6.366376,6.282948,5.926488,5.096518,6.315371,5.152935,5.97093,5.349808
2402,5.781467,6.521524,5.50431,5.709967,6.261689,6.372958,5.338854,7.703046,6.736081,6.054441,6.555649,4.170772,6.452395,6.327258,5.639515,4.423697,6.258602,5.501905,6.435802,5.34955,5.517258,5.588074,5.246311,5.385122,5.795468,6.147038,4.776658,4.802185,5.561828,5.355857,6.253536,5.407442,5.617567,5.504491,5.508115,5.774186,4.272335,4.690715,6.658318,5.675576,6.009516,5.635094,6.566796,5.800381,4.921741,5.453017,4.697289,6.488018,5.398324,5.648453,5.632718,5.725723,6.137456,5.708165,5.75592,6.35588,6.094534,5.656696,4.991622,4.577209,4.938536,5.583572,6.413275,5.217155,5.009868,6.847598,5.395774,6.710597,6.214032,6.285226,5.56901,6.328958,4.940081,5.768316,5.456689,5.506714,5.678044,5.48547,4.674655,6.127048,5.590479,5.894731,5.167327,5.983686,4.799623,5.395196,5.845758,6.190045,6.281234,5.085938,5.170581,5.281073,4.399159,6.017432,5.763519,6.876341,4.457061,6.03612,6.203938,5.674099,5.28914,5.742602,5.545154,5.170573,4.417377,5.519993,5.824752,5.8526,5.696255,5.76837,5.355733,5.627245,5.609551,5.282212,6.363714,6.067979,6.318151,6.415889,5.770237,4.16285,3.699381,5.232856,5.42528,4.953164,5.027192,5.099011,5.24375,6.751565,6.034913,4.779029,6.255014,6.026202,5.206098,5.04851,4.84894,6.222295,4.933455,4.2816,5.689313,5.5461,5.566485,5.835577,5.835292,5.739586,5.276222,4.436501,4.688004,5.766455,5.359685,4.84206,6.033406,6.132004,5.534041,5.07181,5.559814,5.707619,5.293076,5.423809,5.549418,5.259073,5.656039,6.136083,5.969932
2403,4.9418505,4.5260155,4.853108,4.365185,5.092135,5.325577,4.772557,4.97799,4.5184415,5.035291,4.7140915,4.931621,4.6039265,4.4640815,4.34107,4.3855615,5.2047285,4.910652,4.9747425,5.299412,5.382639,4.505096,4.673318,4.272181,4.9014635,4.310037,4.5541375,4.8095285,5.082938,4.912984,5.007639,4.458457,4.894625,4.41011,4.5763765,4.456374,4.2371765,4.720903,4.9605705,5.1236805,5.263822,4.4903405,4.8772755,5.3411995,4.1593205,4.554144,4.6796365,4.046709,4.3110475,4.7365145,4.1939805,4.3752045,4.1263545,5.4548715,4.6577695,4.900154,4.091283,5.647854,4.642538,4.314442,4.5930045,4.897576,4.7375055,4.920969,4.943952,5.6661265,4.7101945,4.788265,4.344997,4.4405485,4.662071,4.7407185,4.8552965,5.044607,4.5997805,4.5164795,4.8566745,3.988803,3.8846355,4.339294,4.61074,5.261652,4.456224,6.0114695,4.766288,4.3677565,5.51563,5.161918,4.6647055,5.1278155,4.6327965,4.374991,4.4647205,5.2372945,4.477634,5.9232095,4.457635,4.4661055,4.493595,4.155422,4.857294,4.745459,4.574522,5.405933,4.95754,4.506712,5.387786,4.2712485,4.5665155,5.3918305,4.412708,4.466471,4.7240055,4.854527,4.461766,4.506541,5.13902,4.8028195,4.5505685,4.6221105,5.0815575,4.8050585,4.991799,4.7618955,5.07016,5.128732,4.3226705,4.337979,4.5261555,4.4125115,5.056959,4.3872615,5.2050585,4.817727,4.2337625,5.06482,4.2994715,4.355629,4.5796185,4.5471635,5.1584485,4.27629,4.369991,4.5669365,4.7980065,4.8661895,4.031877,4.4746955,4.830729,4.95901,4.4758315,4.40572,4.4658375,4.6511365,5.0122535,4.438946,5.1397595,4.3582675,4.3386615,4.368669,5.1325575,4.5381625,4.2196705
2404,5.19845,6.4892405,6.4523525,6.194759,6.0381855,6.2734425,5.779525,6.350199,6.2931225,6.3668585,6.043017,6.111926,6.2305505,5.975524,6.129246,5.4019735,6.1358555,5.721118,5.760519,6.4520685,6.4403215,5.3682315,5.0116415,5.683422,5.4490205,6.2154105,5.860889,5.569637,6.1660605,5.6977625,5.6977765,5.086412,5.9197435,5.8422785,5.970775,6.529472,5.756256,6.081879,6.4181715,5.8835815,6.508874,6.0147285,5.536764,5.2961685,6.691348,5.709489,5.767395,5.9152175,5.5135325,5.1720355,4.9571265,6.3870795,5.523724,5.5096135,5.2671545,4.859673,5.612848,6.208615,5.392252,6.454635,6.819073,6.2250405,5.9959675,6.381786,6.0315095,6.7852555,6.4968105,5.2016725,6.1365625,5.687735,4.8831655,5.197368,5.325311,5.0041205,5.2527765,5.5530505,5.4907455,5.667236,4.5589425,6.188874,6.000932,5.6724295,5.5393395,6.3190395,5.875529,6.2894085,6.175105,6.0489175,6.0394925,6.3080905,5.406966,6.115323,5.65521,5.6506625,5.57246,6.2731215,5.8578415,6.39439,5.4975735,6.298324,5.9992255,5.8939375,5.623522,5.731021,5.345648,5.531541,6.733962,5.7683085,5.4364425,6.880579,4.834623,5.6727975,5.86731,5.777398,5.1296795,5.6958105,6.524519,6.5865805,6.4478835,5.409787,5.913825,6.3803645,5.4574745,6.3363025,6.0831395,6.0955635,5.600358,6.579588,5.5594785,5.8270865,6.1951615,6.2041765,6.4854525,5.2528165,6.106092,6.067039,6.0981165,5.3131425,5.525692,5.8374245,5.5092315,5.3249645,6.127045,5.392946,5.9074035,6.192435,5.2215735,5.8936155,5.629944,6.0879945,5.4616815,6.194127,5.5237785,5.272257,5.6256925,5.4811995,5.6074855,6.19959,6.374146,5.5452375,5.9185965,5.995758,6.3478085
2485,8.55776633333333,7.78467066666667,8.09319433333333,8.22037766666667,8.83341533333333,8.00549466666667,8.20424266666667,8.763248,8.28610333333333,8.72719933333333,8.694976,7.68804266666667,8.40852533333333,7.978252,8.88857366666667,8.88454633333333,7.62020266666667,9.01649333333333,8.41684566666667,8.25590266666667,7.99638966666667,7.68248466666667,8.01226133333333,8.21357866666667,8.18974166666667,8.89260666666667,8.05162333333333,7.840103,7.872242,8.08190833333333,8.001406,7.48551966666667,7.92234133333333,8.15169166666667,8.38695766666667,8.73708233333333,8.52044433333333,7.01548333333333,8.878001,8.43937866666667,8.05245033333333,8.19846366666667,8.96124066666667,8.187715,8.36697833333333,8.76660066666667,8.10956966666667,7.84373466666667,8.30988766666667,8.69694566666667,9.31482666666667,8.195556,9.097112,7.95971633333333,8.298223,8.54643966666667,8.51108466666667,8.02098533333333,7.53598633333333,8.68728,7.782508,8.50149966666667,8.19359866666667,8.18539633333333,7.79040966666667,8.88683433333333,8.286229,8.35762933333333,7.907349,8.07288866666667,7.75066366666667,8.28150366666667,8.08222666666667,8.30060366666667,7.62427766666667,8.07020733333333,8.857897,8.96677333333333,8.409229,9.053249,8.81813166666667,9.22954166666667,8.016944,9.11491366666667,7.52127433333333,8.327263,8.48444766666667,8.66334566666667,7.95824466666667,7.98205933333333,8.24449633333333,8.16232,8.090978,8.13091533333333,7.46428566666667,9.26185166666667,7.50698866666667,8.05059533333333,8.95265866666667,8.667093,9.083803,8.454767,8.13552666666667,8.68914933333333,8.566002,8.533321,8.07006433333333,8.86918766666667,7.536711,8.39807166666667,7.645149,8.626861,7.98732133333333,8.68492966666667,9.98128533333333,8.52770033333333,8.59754,9.032471,8.49619166666667,8.29643333333333,7.71194833333333,9.24624966666667,8.43276233333333,8.640096,8.48527566666667,8.40683366666667,7.650481,7.756074,7.47221433333333,8.71222866666667,8.37395066666667,8.53732466666667,8.225186,9.76512433333333,8.35725266666667,9.26472633333333,8.001267,7.639723,8.60100566666667,8.80826233333333,8.541442,8.15153766666667,8.05721433333333,8.20805333333333,8.234212,8.72477233333333,9.20431366666667,9.35652333333333,8.40632566666667,8.28578133333333,8.34095866666667,8.18468833333333,7.76417533333333,7.417747,8.240467,8.099121,9.067218,8.52204033333333,8.27001533333333,8.816091,8.312649,7.84275933333333,8.70977
2486,5.775273,5.49748566666667,7.76497333333333,5.92416,6.609831,5.89652566666667,7.365622,5.20080533333333,6.11222033333333,6.73807866666667,5.556502,7.804649,6.36265,4.901223,5.96836666666667,6.51939,6.307969,6.79619366666667,7.107988,6.07013966666667,6.12652133333333,6.38761433333333,6.757521,5.94334833333333,6.18169866666667,5.31565866666667,6.49947133333333,6.45954166666667,7.05966266666667,6.672571,7.20091366666667,5.906778,6.546664,6.23452966666667,5.795094,6.16492866666667,6.54823733333333,6.40583533333333,7.027946,6.07159433333333,6.54750633333333,6.27216866666667,7.255815,6.44573033333333,5.82139966666667,6.76543966666667,7.388167,7.18980533333333,5.428109,6.153206,5.73592766666667,7.22619866666667,5.561641,6.876891,6.16927466666667,7.239097,6.37727333333333,6.54915833333333,6.668621,5.81696133333333,6.14926266666667,5.560646,6.14523366666667,6.10060333333333,6.007205,5.286889,5.782759,6.40549833333333,6.11909933333333,6.25006966666667,7.09469333333333,6.616087,7.11793266666667,5.97530233333333,6.80868766666667,6.60373933333333,6.45514166666667,6.47080166666667,6.84918633333333,7.55192366666667,7.16099766666667,6.04804433333333,6.14814366666667,5.601726,6.37114966666667,5.79636266666667,6.06852933333333,6.13709733333333,6.203231,6.35036833333333,6.605819,6.28707933333333,7.132412,6.55866633333333,7.25342033333333,5.71904766666667,6.18522133333333,5.616464,5.95365933333333,6.42205566666667,6.66901133333333,6.326304,6.565862,6.69425866666667,6.77885433333333,6.87974933333333,6.44187933333333,5.59791833333333,6.757414,5.86073933333333,6.90434266666667,6.82571233333333,6.263592,6.74054333333333,7.17325966666667,5.841176,5.53672,6.26748433333333,6.10712166666667,7.33606,7.75211566666667,6.418695,7.38312833333333,5.24747566666667,5.86327833333333,5.80336533333333,6.26215633333333,6.70325966666667,6.255481,6.325997,6.06506633333333,6.736279,6.642712,6.30482366666667,7.21690433333333,4.79079466666667,5.99381366666667,6.458589,7.003543,5.90745666666667,6.013063,6.26424866666667,6.19960033333333,6.55524133333333,6.768178,6.731615,6.558693,5.81621733333333,6.62883666666667,6.983563,6.794487,7.03097266666667,6.74104866666667,7.78746666666667,6.59872433333333,6.41032066666667,6.86739733333333,6.963578,6.228004,6.332121,5.917833,5.99111666666667,5.60785466666667
2487,8.170789,7.704621,6.933444,7.99834,7.172908,7.022895,8.473805,6.697505,7.11311,7.473776,6.916754,7.535671,7.203431,7.757448,7.588213,6.621854,7.503298,7.413635,6.914274,6.849482,7.460105,8.246494,8.132346,7.336482,6.467165,7.30744,7.873384,7.272012,6.491819,5.430106,7.542547,7.978967,7.947254,7.421046,7.386915,7.848494,7.675093,7.797858,6.660302,6.322924,7.345094,6.682003,7.62945,6.882069,7.452413,6.393922,6.611499,6.76095,8.093114,7.475305,6.975907,7.689573,7.159988,6.700939,8.031434,6.778178,7.381494,7.788129,8.25136,6.410641,8.096896,7.396257,7.260401,7.034012,6.940128,6.733254,7.296424,6.766862,7.129552,7.985618,6.466934,6.387185,7.455622,7.174586,5.440341,7.454874,5.753697,7.564669,6.809458,6.394069,7.266848,6.908584,6.797134,7.495217,7.444211,7.894204,8.221453,7.501823,5.881096,7.450025,7.642179,7.973688,7.117636,7.511044,8.367429,7.566362,7.585888,7.039843,7.608215,7.686073,5.316582,6.125516,6.5715,6.613901,8.16268,8.526599,7.355238,7.857225,7.267109,6.891071,8.987366,6.975151,7.76052,7.637095,8.50115,7.434758,7.622758,8.389882,6.62889,7.064428,7.403617,7.06622,7.742874,7.111044,9.215323,8.491634,7.663191,6.780503,7.595249,7.104427,7.213663,7.487864,7.642989,5.792075,5.977922,6.951843,6.46871,7.994878,8.14309,7.963818,7.573206,6.239094,6.228385,6.70014,8.207565,6.269455,6.113267,7.015287,8.482717,6.860105,6.990625,7.975869,7.516627,7.684387,8.410261,8.150476,7.178173,6.58195,6.878066,7.646498,7.33949,7.123348,6.717197
